,Team,Season,buildUpPlaySpeed,buildUpPlayDribbling,buildUpPlayPassing,chanceCreationPassing,chanceCreationCrossing,chanceCreationShooting,defencePressure,defenceAggression,defenceTeamWidth,buildUpPlaySpeedClass,buildUpPlayDribblingClass,buildUpPlayPassingClass,buildUpPlayPositioningClass,chanceCreationPassingClass,chanceCreationCrossingClass,chanceCreationShootingClass,chanceCreationPositioningClass,defencePressureClass,defenceTeamWidthClass,defenceAggressionClass_Press,defenceAggressionClass_Double,defenceAggressionClass_Contain,defenceDefenderLineClass_Cover,defenceDefenderLineClass_Offside Trap,Score
0,Chelsea,2014/2015,67.0,52.0,38.0,41.0,61.0,68.0,39.0,41.0,46.0,3,2,2,1,2,2,3,1,2,2,1,0,0,1,0,87
1,Manchester City,2014/2015,59.0,35.0,29.0,32.0,49.0,62.0,42.0,44.0,54.0,2,2,1,1,1,2,2,1,2,2,1,0,0,1,0,79
2,Arsenal,2014/2015,59.0,51.0,26.0,28.0,55.0,64.0,51.0,44.0,52.0,2,2,1,1,1,2,2,0,2,2,1,0,0,1,0,75
3,Manchester United,2014/2015,46.0,34.0,54.0,49.0,72.0,56.0,42.0,41.0,56.0,2,2,2,1,2,3,2,1,2,2,1,0,0,1,0,70
4,Tottenham Hotspur,2014/2015,41.0,35.0,38.0,41.0,59.0,62.0,58.0,51.0,56.0,2,2,2,1,2,2,2,1,2,2,1,0,0,1,0,64
5,Liverpool,2014/2015,71.0,48.0,32.0,34.0,41.0,61.0,51.0,48.0,62.0,3,2,1,1,2,2,2,1,2,2,1,0,0,1,0,62
6,Southampton,2014/2015,47.0,41.0,40.0,42.0,56.0,51.0,62.0,64.0,44.0,2,2,2,1,2,2,2,0,2,2,1,0,0,1,0,60
7,Swansea City,2014/2015,63.0,34.0,34.0,34.0,51.0,36.0,51.0,58.0,54.0,2,2,2,1,2,2,2,0,2,2,1,0,0,1,0,56
8,Stoke City,2014/2015,48.0,24.0,55.0,51.0,57.0,37.0,38.0,40.0,41.0,2,1,2,1,2,2,2,1,2,2,1,0,0,1,0,54
9,Crystal Palace,2014/2015,61.0,36.0,68.0,67.0,62.0,52.0,36.0,34.0,48.0,2,2,3,1,3,2,2,1,2,2,1,0,0,1,0,48
10,Everton,2014/2015,61.0,34.0,42.0,39.0,59.0,48.0,52.0,58.0,60.0,2,2,2,1,2,2,2,1,2,2,1,0,0,1,0,47
11,West Ham United,2014/2015,72.0,39.0,73.0,68.0,71.0,32.0,30.0,34.0,41.0,3,2,3,1,3,3,1,1,1,2,1,0,0,1,0,47
12,West Bromwich Albion,2014/2015,55.0,34.0,51.0,53.0,53.0,57.0,41.0,40.0,49.0,2,2,2,1,2,2,2,1,2,2,1,0,0,1,0,44
13,Leicester City,2014/2015,63.0,36.0,48.0,47.0,62.0,69.0,58.0,62.0,54.0,2,2,2,1,2,2,3,1,2,2,1,0,0,1,0,41
14,Newcastle United,2014/2015,54.0,33.0,47.0,47.0,51.0,39.0,56.0,54.0,51.0,2,1,2,1,2,2,2,1,2,2,1,0,0,1,0,39
15,Sunderland,2014/2015,60.0,33.0,61.0,56.0,44.0,58.0,41.0,38.0,53.0,2,1,2,1,2,2,2,1,2,2,1,0,0,1,0,38
16,Aston Villa,2014/2015,66.0,32.0,72.0,63.0,48.0,56.0,39.0,42.0,52.0,2,1,3,1,2,2,2,1,2,2,1,0,0,1,0,38
17,Hull City,2014/2015,56.0,35.0,51.0,54.0,60.0,48.0,38.0,37.0,46.0,2,2,2,1,2,2,2,1,2,2,1,0,0,1,0,35
18,Burnley,2014/2015,48.0,32.0,74.0,72.0,59.0,58.0,54.0,57.0,58.0,2,1,3,1,3,2,2,1,2,2,1,0,0,1,0,33
19,Queens Park Rangers,2014/2015,52.0,36.0,53.0,53.0,54.0,54.0,50.0,44.0,54.0,2,2,2,1,2,2,2,1,2,2,1,0,0,1,0,30
