,Team,Season,buildUpPlaySpeed,buildUpPlayDribbling,buildUpPlayPassing,chanceCreationPassing,chanceCreationCrossing,chanceCreationShooting,defencePressure,defenceAggression,defenceTeamWidth,buildUpPlaySpeedClass,buildUpPlayDribblingClass,buildUpPlayPassingClass,buildUpPlayPositioningClass,chanceCreationPassingClass,chanceCreationCrossingClass,chanceCreationShootingClass,chanceCreationPositioningClass,defencePressureClass,defenceTeamWidthClass,defenceAggressionClass_Press,defenceAggressionClass_Double,defenceAggressionClass_Contain,defenceDefenderLineClass_Cover,defenceDefenderLineClass_Offside Trap,Score
0,Leicester City,2015/2016,63.0,41.0,60.0,47.0,64.0,46.0,58.0,65.0,55.0,2,2,2,1,2,2,2,1,2,2,1,0,0,1,0,81
1,Arsenal,2015/2016,59.0,51.0,30.0,28.0,44.0,46.0,51.0,44.0,52.0,2,2,1,1,1,2,2,0,2,2,1,0,0,1,0,71
2,Tottenham Hotspur,2015/2016,47.0,46.0,40.0,41.0,41.0,63.0,63.0,54.0,56.0,2,2,2,1,2,2,2,1,2,2,1,0,0,1,0,70
3,Manchester City,2015/2016,59.0,35.0,29.0,38.0,36.0,24.0,48.0,47.0,54.0,2,2,1,0,2,2,1,0,2,2,1,0,0,1,0,66
4,Manchester United,2015/2016,38.0,42.0,44.0,49.0,44.0,40.0,54.0,53.0,56.0,2,2,2,1,2,2,2,1,2,2,1,0,0,1,0,66
5,Southampton,2015/2016,52.0,31.0,46.0,42.0,54.0,30.0,50.0,65.0,44.0,2,1,2,1,2,2,1,1,2,2,1,0,0,1,0,63
6,West Ham United,2015/2016,77.0,37.0,57.0,68.0,73.0,29.0,30.0,37.0,41.0,3,2,2,1,3,3,1,1,1,2,1,0,0,1,0,62
7,Liverpool,2015/2016,66.0,60.0,45.0,34.0,34.0,46.0,51.0,52.0,61.0,2,2,2,1,2,2,2,1,2,2,1,0,0,1,0,60
8,Stoke City,2015/2016,48.0,41.0,49.0,51.0,59.0,49.0,44.0,37.0,51.0,2,2,2,1,2,2,2,1,2,2,1,0,0,1,0,51
9,Chelsea,2015/2016,67.0,41.0,36.0,41.0,34.0,44.0,39.0,41.0,46.0,3,2,2,1,2,2,2,1,2,2,1,0,0,1,0,50
10,Everton,2015/2016,43.0,45.0,40.0,39.0,33.0,63.0,52.0,58.0,59.0,2,2,2,1,2,1,2,1,2,2,1,0,0,1,0,47
11,Swansea City,2015/2016,45.0,44.0,42.0,34.0,36.0,55.0,31.0,47.0,42.0,2,2,2,1,2,2,2,0,1,2,1,0,0,1,0,47
12,Watford,2015/2016,61.0,32.0,52.0,54.0,42.0,45.0,38.0,52.0,45.0,2,1,2,1,2,2,2,0,2,2,1,0,0,1,0,45
13,West Bromwich Albion,2015/2016,62.0,32.0,51.0,53.0,50.0,60.0,41.0,40.0,49.0,2,1,2,1,2,2,2,1,2,2,1,0,0,1,0,43
14,Crystal Palace,2015/2016,61.0,45.0,67.0,67.0,69.0,50.0,36.0,34.0,41.0,2,2,3,1,3,3,2,1,2,2,1,0,0,1,0,42
15,AFC Bournemouth,2015/2016,47.0,36.0,47.0,49.0,45.0,47.0,48.0,50.0,62.0,2,2,2,1,2,2,2,1,2,2,1,0,0,1,0,42
16,Sunderland,2015/2016,43.0,43.0,51.0,59.0,50.0,55.0,47.0,45.0,49.0,2,2,2,1,2,2,2,1,2,2,1,0,0,1,0,39
17,Newcastle United,2015/2016,58.0,45.0,49.0,47.0,54.0,46.0,41.0,39.0,51.0,2,2,2,1,2,2,2,1,2,2,1,0,0,1,0,37
18,Norwich City,2015/2016,45.0,38.0,55.0,46.0,54.0,47.0,38.0,39.0,51.0,2,2,2,1,2,2,2,1,2,2,1,0,0,1,0,34
19,Aston Villa,2015/2016,63.0,37.0,54.0,60.0,48.0,38.0,35.0,44.0,54.0,2,2,2,1,2,2,2,1,2,2,1,0,0,1,0,17
