,Team,Season,buildUpPlaySpeed,buildUpPlayDribbling,buildUpPlayPassing,chanceCreationPassing,chanceCreationCrossing,chanceCreationShooting,defencePressure,defenceAggression,defenceTeamWidth,buildUpPlaySpeedClass,buildUpPlayDribblingClass,buildUpPlayPassingClass,buildUpPlayPositioningClass,chanceCreationPassingClass,chanceCreationCrossingClass,chanceCreationShootingClass,chanceCreationPositioningClass,defencePressureClass,defenceTeamWidthClass,defenceAggressionClass_Press,defenceAggressionClass_Double,defenceAggressionClass_Contain,defenceDefenderLineClass_Cover,defenceDefenderLineClass_Offside Trap,Score
0,Chelsea,2009/2010,70.0,49.0,60.0,56.0,70.0,70.0,30.0,60.0,35.0,3,1,2,0,2,3,3,0,1,2,1,0,0,1,0,86
1,Manchester United,2009/2010,70.0,49.0,45.0,45.0,70.0,65.0,40.0,50.0,40.0,3,1,2,1,2,3,2,0,2,2,1,0,0,1,0,85
2,Arsenal,2009/2010,66.0,49.0,30.0,30.0,45.0,35.0,30.0,40.0,50.0,2,1,1,0,1,2,2,0,1,2,1,0,0,1,0,75
3,Tottenham Hotspur,2009/2010,70.0,49.0,50.0,50.0,65.0,50.0,50.0,50.0,50.0,3,1,2,1,2,2,2,1,2,2,1,0,0,1,0,70
4,Manchester City,2009/2010,70.0,49.0,60.0,55.0,70.0,70.0,45.0,55.0,45.0,3,1,2,1,2,3,3,1,2,2,1,0,0,1,0,67
5,Aston Villa,2009/2010,70.0,49.0,59.0,65.0,70.0,50.0,30.0,70.0,30.0,3,1,2,1,2,3,2,0,1,1,0,1,0,1,0,64
6,Liverpool,2009/2010,50.0,49.0,35.0,50.0,60.0,70.0,40.0,60.0,40.0,2,1,2,1,2,2,3,1,2,2,1,0,0,1,0,63
7,Everton,2009/2010,60.0,49.0,65.0,60.0,70.0,45.0,40.0,70.0,40.0,2,1,2,1,2,3,2,1,2,2,0,1,0,1,0,61
8,Birmingham City,2009/2010,70.0,49.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,3,1,3,1,3,3,3,1,3,3,0,1,0,1,0,50
9,Blackburn Rovers,2009/2010,55.0,49.0,70.0,60.0,70.0,55.0,45.0,70.0,45.0,2,1,3,1,2,3,2,1,2,2,0,1,0,1,0,50
10,Stoke City,2009/2010,65.0,49.0,70.0,70.0,70.0,55.0,35.0,70.0,35.0,2,1,3,1,3,3,2,1,2,2,0,1,0,1,0,47
11,Fulham,2009/2010,60.0,49.0,70.0,70.0,70.0,50.0,40.0,35.0,40.0,2,1,3,1,3,3,2,1,2,2,1,0,0,1,0,46
12,Sunderland,2009/2010,60.0,49.0,70.0,70.0,70.0,55.0,35.0,70.0,35.0,2,1,3,1,3,3,2,1,2,2,0,1,0,1,0,44
13,Bolton Wanderers,2009/2010,55.0,49.0,70.0,70.0,70.0,45.0,35.0,70.0,35.0,2,1,3,1,3,3,2,1,2,2,0,1,0,1,0,39
14,Wolverhampton Wanderers,2009/2010,70.0,49.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,3,1,3,1,3,3,3,1,3,3,0,1,0,1,0,38
15,Wigan Athletic,2009/2010,70.0,49.0,70.0,70.0,70.0,50.0,35.0,70.0,35.0,3,1,3,1,3,3,2,1,2,2,0,1,0,1,0,36
16,West Ham United,2009/2010,58.0,49.0,30.0,31.0,70.0,50.0,30.0,70.0,30.0,2,1,1,1,1,3,2,1,1,1,0,1,0,1,0,35
17,Burnley,2009/2010,70.0,49.0,65.0,70.0,70.0,70.0,65.0,70.0,70.0,3,1,2,1,3,3,3,1,2,3,0,1,0,1,0,30
18,Hull City,2009/2010,65.0,49.0,60.0,70.0,70.0,55.0,70.0,70.0,70.0,2,1,2,1,3,3,2,1,3,3,0,1,0,1,0,30
19,Portsmouth,2009/2010,70.0,49.0,70.0,70.0,70.0,55.0,40.0,70.0,40.0,3,1,3,1,3,3,2,1,2,2,0,1,0,1,0,19
