,Team,Season,buildUpPlaySpeed,buildUpPlayDribbling,buildUpPlayPassing,chanceCreationPassing,chanceCreationCrossing,chanceCreationShooting,defencePressure,defenceAggression,defenceTeamWidth,buildUpPlaySpeedClass,buildUpPlayDribblingClass,buildUpPlayPassingClass,buildUpPlayPositioningClass,chanceCreationPassingClass,chanceCreationCrossingClass,chanceCreationShootingClass,chanceCreationPositioningClass,defencePressureClass,defenceTeamWidthClass,defenceAggressionClass_Press,defenceAggressionClass_Double,defenceAggressionClass_Contain,defenceDefenderLineClass_Cover,defenceDefenderLineClass_Offside Trap,Score
0,Manchester City,2013/2014,36.0,49.0,34.0,39.0,44.0,38.0,42.0,44.0,54.0,2,1,2,1,2,2,2,0,2,2,1,0,0,1,0,86
1,Liverpool,2013/2014,39.0,49.0,44.0,42.0,34.0,54.0,59.0,52.0,61.0,2,1,2,1,2,2,2,1,2,2,1,0,0,1,0,84
2,Chelsea,2013/2014,46.0,49.0,41.0,46.0,61.0,63.0,42.0,43.0,46.0,2,1,2,1,2,2,2,1,2,2,1,0,0,1,0,82
3,Arsenal,2013/2014,30.0,49.0,29.0,41.0,55.0,39.0,64.0,54.0,52.0,1,1,1,1,2,2,2,0,2,2,1,0,0,1,0,79
4,Everton,2013/2014,58.0,49.0,62.0,48.0,59.0,32.0,41.0,44.0,59.0,2,1,2,1,2,2,1,1,2,2,1,0,0,1,0,72
5,Tottenham Hotspur,2013/2014,42.0,49.0,46.0,45.0,58.0,68.0,63.0,61.0,57.0,2,1,2,1,2,2,3,1,2,2,1,0,0,1,0,69
6,Manchester United,2013/2014,46.0,49.0,38.0,46.0,68.0,37.0,49.0,49.0,56.0,2,1,2,1,2,3,2,1,2,2,1,0,0,1,0,64
7,Southampton,2013/2014,47.0,49.0,38.0,52.0,56.0,58.0,57.0,63.0,44.0,2,1,2,1,2,2,2,0,2,2,1,0,0,1,0,56
8,Stoke City,2013/2014,75.0,49.0,73.0,59.0,61.0,38.0,32.0,37.0,41.0,3,1,3,1,2,2,2,1,1,2,1,0,0,1,0,50
9,Newcastle United,2013/2014,58.0,49.0,72.0,48.0,51.0,46.0,41.0,39.0,51.0,2,1,3,1,2,2,2,1,2,2,1,0,0,1,0,49
10,Crystal Palace,2013/2014,52.0,49.0,47.0,69.0,66.0,47.0,36.0,33.0,53.0,2,1,2,1,3,2,2,1,2,2,0,0,1,1,0,45
11,Swansea City,2013/2014,41.0,49.0,39.0,36.0,42.0,44.0,52.0,58.0,57.0,2,1,2,1,2,2,2,0,2,2,1,0,0,1,0,42
12,West Ham United,2013/2014,72.0,49.0,73.0,61.0,74.0,32.0,30.0,37.0,41.0,3,1,3,1,2,3,1,1,1,2,1,0,0,1,0,40
13,Sunderland,2013/2014,57.0,49.0,66.0,56.0,31.0,72.0,47.0,52.0,49.0,2,1,2,1,2,1,3,1,2,2,1,0,0,1,0,38
14,Aston Villa,2013/2014,63.0,49.0,59.0,52.0,55.0,34.0,39.0,41.0,54.0,2,1,2,1,2,2,2,1,2,2,1,0,0,1,0,38
15,Hull City,2013/2014,63.0,49.0,48.0,38.0,60.0,54.0,34.0,37.0,46.0,2,1,2,1,2,2,2,1,2,2,1,0,0,1,0,37
16,West Bromwich Albion,2013/2014,55.0,49.0,54.0,57.0,53.0,57.0,33.0,31.0,49.0,2,1,2,1,2,2,2,1,1,2,0,0,1,1,0,36
17,Norwich City,2013/2014,70.0,49.0,70.0,56.0,67.0,48.0,40.0,43.0,53.0,3,1,3,1,2,3,2,1,2,2,1,0,0,1,0,33
18,Fulham,2013/2014,52.0,49.0,49.0,49.0,56.0,59.0,39.0,39.0,57.0,2,1,2,1,2,2,2,1,2,2,1,0,0,1,0,32
19,Cardiff City,2013/2014,60.0,49.0,69.0,54.0,59.0,62.0,47.0,43.0,56.0,2,1,3,1,2,2,2,1,2,2,1,0,0,1,0,30
